VCP;CGB;20160416193400;20160416205000
YHZ;YDF;20160403223000;20160404001500
TXL;GRZ;20160424165500;20160424182500
DUB;LHR;20161106190500;20161106202500
BCN;PMI;20161009181000;20161009185500
BKK;NBO;20170114012000;20170114062500
BCN;PMI;20161009150000;20161009154500
BES;CDG;20161104182000;20161104194000
EIS;SXM;20160610210000;20160610214000
BES;CDG;20161104131000;20161104143000
BZE;CUK;20161031074000;20161031075000
OLB;FCO;20160724130000;20160724135500
AMS;BHX;20160815163500;20160815165000
DEL;RPR;20170120084500;20170120103500
YLW;YYC;20161104200000;20161104215900
RTM;MUC;20160923200500;20160923213500
HAN;REP;20161105171000;20161105185000
PTY;SDQ;20160602074400;20160602111700
KRR;CEE;20160703125500;20160703154000
MPL;CDG;20161217132000;20161217145000
MNL;LAO;20170624190000;20170624200000
SUB;UPG;20161013001500;20161013024500
PEK;DLC;20161006201000;20161006213500
SDK;KUL;20161130094000;20161130122500
EBB;NBO;20170113173500;20170113184500
BCN;MXP;20161115184000;20161115201500
YVR;YYJ;20160513111500;20160513113900
OBO;HND;20161203155500;20161203174000
HKT;ICN;20161120015000;20161120095500
BKK;HKG;20161103040000;20161103080000
XIY;URC;20160625185500;20160625223500
CGR;MAO;20160412093700;20160412150000
LHR;HEL;20160326192500;20160327002000
LGW;PUJ;20160401120500;20160401155500
TNA;HKG;20160401080000;20160401105000
CSX;BKK;20160311193000;20160311215500
BLR;IDR;20160424060500;20160424091500
BOD;ORY;20160404202000;20160404213000
BIQ;ORY;20160518091500;20160518103500
BOM;DEL;20160513093000;20160513114000
MPL;CDG;20161217145000;20161217162000
OLB;VIE;20160723184000;20160723202000
MXP;HOG;20160728090000;20160728171000
IXC;DEL;20160925172000;20160925182500
FAO;DUB;20160723062500;20160723092000
BKS;CGK;20170316141500;20170316153500
SUB;SRG;20160708143000;20160708154000
IST;ECN;20160930153500;20160930170500
VIE;MSQ;20161104095000;20161104134500
CMN;LFW;20160709001000;20160709033500
DEL;RPR;20170120123500;20170120141500
BLR;PNQ;20161129164500;20161129180500
LPB;CBB;20170806113000;20170806120500
KMG;SZX;20160923102000;20160923122500
MAN;BHD;20161008120000;20161008130000
SOU;GCI;20170213144000;20170213152500
AKL;DUD;20170624122500;20170624141500
CAN;SYD;20160719210500;20160720082500
RGN;SIN;20161202142000;20161202185000
SAW;CKZ;20160711233000;20160712222000
RGN;SIN;20161202102500;20161202151000
BKI;BWN;20160820085000;20160820093000
BJV;SAW;20160623200000;20160623211500
WUH;URC;20160808112500;20160808160000
SCL;ANF;20160523190000;20160523210000
JPA;BSB;20160510170700;20160510195000
BSL;BCN;20150320084000;20150320102000
TPE;HGH;20160326122000;20160326141000
LGW;SZG;20160327091000;20160327120500
SYX;DLC;20160316070000;20160316135500
TZX;SAW;20160326224000;20160327002500
CDG;CAN;20160404232000;20160405165500
DUS;STR;20160515082500;20160515092500
